id,state_board_id,port_board_id,period,ov_embarked,ov_disembarked,co_embarked,co_disembarked,total_embarked,total_disembarked,status,created_by_user_id,created_on,modified_by_user_id,approved_on,modified_on
1,10,32,2016,0,0,0,0,0,0,Approval Awaited,58,2017-08-28 14:56:42,,,
2,9,50,2017,0,0,0,0,0,0,Approved,113,2017-09-25 09:34:56,,2017-10-10 16:39:09,
3,9,50,2016,0,0,0,0,0,0,Approved,113,2017-09-25 09:35:44,,2017-10-10 16:38:55,
4,9,48,2017,0,0,0,0,0,0,Approved,112,2017-10-03 17:15:20,108,2017-10-09 14:34:36,2017-10-09 14:34:36
5,9,49,2017,1269,1269,0,0,1269,1269,Approved,116,2017-10-05 13:01:30,,2017-10-09 11:53:48,
6,3,29,2017,0,0,0,0,0,0,Approved,120,2017-11-23 15:55:06,,2017-12-04 17:03:28,
7,9,51,2017,0,0,8008,7694,8008,7694,Approved,121,2018-02-15 10:37:39,,2018-02-15 12:47:47,
8,9,52,2018,0,0,0,0,0,0,Approved,115,2018-03-06 11:36:50,,2018-09-14 15:18:06,
9,6,34,2017,0,0,0,0,0,0,Approved,102,2018-03-24 16:51:16,,2018-05-10 15:30:37,
10,6,34,2018,0,0,0,0,0,0,Approved,102,2018-03-24 16:52:11,,2018-05-10 15:30:50,
11,9,51,2018,81,77,7059,7608,7140,7685,Approved,121,2018-04-20 13:51:24,,2018-05-02 11:59:08,
12,9,50,2018,0,0,0,0,0,0,Approved,113,2018-10-09 10:41:41,,2018-10-09 11:05:52,
13,6,37,2017,0,0,0,0,0,0,Approved,167,2018-10-29 15:14:03,,2018-11-10 20:51:02,
14,6,37,2018,0,0,0,0,0,0,Approved,167,2018-10-29 15:14:43,,2018-11-10 20:50:59,
15,9,48,2018,0,0,0,0,0,0,Approved,112,2018-11-08 11:22:40,,2018-12-03 14:21:50,
16,5,99,2018,0,0,0,0,0,0,Approval Awaited,149,2018-11-12 14:41:59,,,
17,3,27,2018,0,0,0,0,0,0,Approved,68,2018-11-20 11:37:04,,2018-11-20 11:42:31,
18,3,29,2018,0,0,0,0,0,0,Approved,120,2018-12-03 17:00:32,,2019-01-03 11:37:21,
19,3,28,2018,0,0,0,0,0,0,Approved,70,2018-12-13 16:04:50,,2018-12-13 16:29:21,
20,3,28,2017,0,0,0,0,0,0,Approved,70,2018-12-13 16:05:16,,2018-12-13 16:29:16,
21,3,29,2019,0,0,0,0,0,0,Approved,120,2019-03-04 16:16:36,,2019-04-09 12:59:06,
22,9,50,2019,0,0,0,0,0,0,Approved,113,2019-04-02 17:12:25,,2019-04-02 17:17:17,
23,6,37,2019,0,0,0,0,0,0,Approved,167,2019-04-05 09:57:36,,2019-05-04 23:33:56,
24,9,50,2020,0,0,0,0,0,0,Approved,113,2020-01-03 12:24:40,,2020-04-15 12:27:23,
25,3,28,2020,0,0,0,0,0,0,Approved,70,2020-05-06 12:46:39,,2020-05-08 11:14:48,
26,9,48,2020,0,0,0,0,0,0,Approved,112,2020-07-10 15:04:36,,2020-07-10 15:12:41,
27,9,48,2019,0,0,0,0,0,0,Approved,112,2020-07-10 15:51:05,,2020-07-10 16:01:53,
28,3,29,2020,0,0,0,0,0,0,Approved,120,2020-07-16 10:50:21,,2020-07-16 11:05:26,
29,3,29,2021,0,0,0,0,0,0,Approved,120,2021-04-09 13:15:53,,2021-04-09 13:32:01,
30,9,48,2021,0,0,0,0,0,0,Approved,112,2021-07-26 16:59:01,,2021-08-01 18:33:40,
31,9,52,2024,0,0,0,0,0,0,Approved,115,2024-05-08 15:13:50,,2024-05-08 15:18:42,
