id,name,parent_id,lft,rght,type,count_in_total,created_by_user_id,created_on,updated_by_user_id,updated_on
1,Root,,115,115,Header,No,1,2015-11-14 10:52:59,,2020-07-30 15:09:00
2,Liquid Bulk,1,1,14,Header,No,2,2015-11-14 10:53:10,,2018-06-14 12:35:44
3,Dry Bulk,1,15,52,Header,No,2,2015-11-14 10:53:19,,2020-07-30 15:09:00
4,Break Bulk,1,53,80,Header,No,2,2015-11-14 10:53:39,,2020-07-30 15:09:00
5,Container,1,81,86,Header,No,2,2015-11-14 10:54:15,,2020-07-30 15:09:00
6,Transhippment,1,87,104,Header,No,2,2015-11-14 12:32:05,,2020-07-30 15:09:00
7,POL-Crude,2,2,3,Principal Commodity,Yes,2,2015-11-14 12:32:57,,2018-09-17 14:34:12
8,POL-Products,2,4,5,Principal Commodity,Yes,2,2015-11-14 12:33:24,,2018-09-17 14:34:15
9,LPG or LNG,2,6,7,Principal Commodity,Yes,2,2015-11-14 12:36:36,,2018-09-17 14:34:32
10,Edible Oil,2,8,9,Others,Yes,2,2015-11-14 12:44:03,,0000-00-00 00:00:00
11,FRM-Liquid,2,10,11,Others,Yes,2,2015-11-14 12:44:31,,0000-00-00 00:00:00
13,Iron Ore All,3,16,21,Header,No,2,2015-11-14 12:46:13,,2018-06-14 12:37:46
14,Pellets,13,17,18,Principal Commodity,Yes,2,2015-11-14 12:46:32,,2018-09-17 14:34:55
15,Fine,13,19,20,Others,Yes,2,2015-11-14 12:46:49,,2016-06-06 03:03:44
16,Other Ores,3,22,23,Others,Yes,2,2015-11-14 12:47:18,,2016-06-06 03:03:44
17,Thermal Coal,3,24,25,Principal Commodity,Yes,2,2015-11-14 12:47:45,,2018-09-17 14:35:11
18,Coking Coal,3,26,27,Principal Commodity,Yes,2,2015-11-14 12:48:05,,2018-09-17 14:35:14
19,Other Coal,3,28,31,Others,Yes,2,2015-11-14 12:48:41,,2016-06-06 03:03:44
20,Iron and Steel,4,54,55,Principal Commodity,Yes,2,2015-11-14 12:50:36,,2020-07-30 15:09:00
21,Timber and Log,4,56,57,Others,Yes,2,2015-11-14 12:50:55,,2020-07-30 15:09:00
22,TEUs,5,82,83,Others,No,2,2015-11-14 12:51:27,,2020-07-30 15:09:00
23,Container Tonnes,6,88,95,Others,Yes,2,2015-11-14 12:52:06,,2020-07-30 15:09:00
24,Other Transhipment,6,96,97,Others,Yes,2,2015-11-14 12:53:42,,2020-07-30 15:09:00
25,Other Liquids,2,12,13,Others,Yes,2,2016-06-06 03:03:43,,2017-09-04 11:13:10
26,Fertilizer,3,32,33,Others,Yes,2,2016-06-06 03:06:07,,2019-01-31 12:36:54
27,FRM-Dry,3,34,35,Others,Yes,2,2016-06-06 03:06:45,,0000-00-00 00:00:00
28,Food Grains-excluding pulses,3,36,37,Others,Yes,2,2016-06-06 03:09:56,,0000-00-00 00:00:00
29,Pulses,3,38,39,Others,Yes,2,2016-06-06 03:11:09,,0000-00-00 00:00:00
30,Sugar,3,40,41,Others,Yes,2,2016-06-06 03:13:50,,0000-00-00 00:00:00
31,Cement,3,42,43,Others,Yes,2,2016-06-06 03:14:34,,0000-00-00 00:00:00
32,Salt,3,44,45,Others,Yes,2,2016-06-06 03:15:35,,0000-00-00 00:00:00
33,Iron Scrap,3,46,47,Principal Commodity,Yes,2,2016-06-06 05:30:59,,2018-09-17 14:35:55
34,Other Dry Bulk,3,48,49,Others,Yes,2,2016-06-06 05:31:28,,2020-07-27 11:47:08
35,Tea and Coffee,4,58,59,Principal Commodity,Yes,2,2016-06-06 05:32:46,,2020-07-30 15:09:00
36,Food Grains-excluding pulses,4,60,61,Principal Commodity,Yes,2,2016-06-06 05:33:27,,2020-07-30 15:09:00
37,Pulses,4,62,63,Others,Yes,2,2016-06-06 05:34:22,,2020-07-30 15:09:00
38,Sugar,4,64,65,Others,Yes,2,2016-06-06 05:34:46,,2020-07-30 15:09:00
39,Cement,4,66,67,Others,Yes,2,2016-06-06 05:35:05,,2020-07-30 15:09:00
40,Project Cargo,4,68,69,Others,Yes,2,2016-06-06 05:35:48,,2020-07-30 15:09:00
41,Fertilizer,4,70,71,Principal Commodity,Yes,2,2016-06-06 05:36:33,,2020-07-30 15:09:00
42,Automobiles-Tonnes,4,72,73,Others,Yes,2,2016-06-06 05:39:01,,2020-07-30 15:09:00
43,Other Break Bulk,4,74,75,Others,Yes,2,2016-06-06 05:39:22,,2020-07-30 15:09:00
44,Service rendered to ship,1,107,114,Header,No,2,2017-08-28 11:18:31,,2020-07-30 15:09:00
45,Fresh Water,44,108,109,Others,No,2,2017-08-28 11:18:56,,2020-07-30 15:09:00
46,Tonnes,5,84,85,Principal Commodity,Yes,2,2017-09-06 10:50:28,,2020-07-30 15:09:00
47,Fuel,44,110,111,Others,No,2,2017-09-07 13:15:14,,2020-07-30 15:09:00
48,Others,44,112,113,Others,No,2,2017-09-07 13:15:46,,2020-07-30 15:09:00
49,Chemicals,4,76,77,Others,Yes,3,2018-05-16 14:09:01,,2020-07-30 15:09:00
50,Building Materials,4,78,79,Others,Yes,3,2018-05-16 14:09:38,,2020-07-30 15:09:00
51,POL-Crude,6,98,99,Others,Yes,2,2019-05-29 16:51:22,,2020-07-30 15:09:00
52,Container TEUs,6,100,101,Others,No,2,2019-08-17 13:15:54,,2020-07-30 15:09:00
54,POL-Products,6,102,103,Others,Yes,2,2019-08-29 14:57:02,,2020-07-30 15:09:00
55,Scrap - LDT,3,50,51,Others,Yes,2,2020-07-30 15:09:00,,0000-00-00 00:00:00
