id,data_table_type_id,commodity_id,created_by_user_id,created_on
365,2,7,3,2018-05-16 14:31:15
366,2,8,3,2018-05-16 14:31:15
367,2,9,3,2018-05-16 14:31:15
368,2,10,3,2018-05-16 14:31:15
369,2,11,3,2018-05-16 14:31:15
370,2,25,3,2018-05-16 14:31:15
371,2,14,3,2018-05-16 14:31:15
372,2,15,3,2018-05-16 14:31:15
373,2,16,3,2018-05-16 14:31:15
374,2,17,3,2018-05-16 14:31:15
375,2,18,3,2018-05-16 14:31:15
376,2,19,3,2018-05-16 14:31:15
377,2,26,3,2018-05-16 14:31:15
378,2,27,3,2018-05-16 14:31:15
379,2,28,3,2018-05-16 14:31:15
380,2,29,3,2018-05-16 14:31:15
381,2,30,3,2018-05-16 14:31:15
382,2,31,3,2018-05-16 14:31:15
383,2,32,3,2018-05-16 14:31:15
384,2,33,3,2018-05-16 14:31:15
385,2,34,3,2018-05-16 14:31:15
386,2,20,3,2018-05-16 14:31:15
387,2,21,3,2018-05-16 14:31:15
388,2,35,3,2018-05-16 14:31:15
389,2,36,3,2018-05-16 14:31:15
390,2,37,3,2018-05-16 14:31:15
391,2,38,3,2018-05-16 14:31:15
392,2,39,3,2018-05-16 14:31:15
393,2,40,3,2018-05-16 14:31:15
394,2,41,3,2018-05-16 14:31:15
395,2,42,3,2018-05-16 14:31:15
396,2,43,3,2018-05-16 14:31:15
397,2,49,3,2018-05-16 14:31:15
398,2,50,3,2018-05-16 14:31:15
399,2,22,3,2018-05-16 14:31:15
400,2,46,3,2018-05-16 14:31:15
401,2,23,3,2018-05-16 14:31:15
402,2,24,3,2018-05-16 14:31:15
403,3,7,3,2018-05-16 14:31:37
404,3,8,3,2018-05-16 14:31:37
405,3,9,3,2018-05-16 14:31:37
406,3,10,3,2018-05-16 14:31:37
407,3,11,3,2018-05-16 14:31:37
408,3,25,3,2018-05-16 14:31:37
409,3,14,3,2018-05-16 14:31:37
410,3,15,3,2018-05-16 14:31:37
411,3,16,3,2018-05-16 14:31:37
412,3,17,3,2018-05-16 14:31:37
413,3,18,3,2018-05-16 14:31:37
414,3,19,3,2018-05-16 14:31:37
415,3,26,3,2018-05-16 14:31:37
416,3,27,3,2018-05-16 14:31:37
417,3,28,3,2018-05-16 14:31:37
418,3,29,3,2018-05-16 14:31:37
419,3,30,3,2018-05-16 14:31:37
420,3,31,3,2018-05-16 14:31:37
421,3,32,3,2018-05-16 14:31:37
422,3,33,3,2018-05-16 14:31:37
423,3,34,3,2018-05-16 14:31:37
424,3,20,3,2018-05-16 14:31:37
425,3,21,3,2018-05-16 14:31:37
426,3,35,3,2018-05-16 14:31:37
427,3,36,3,2018-05-16 14:31:37
428,3,37,3,2018-05-16 14:31:37
429,3,38,3,2018-05-16 14:31:37
430,3,39,3,2018-05-16 14:31:37
431,3,40,3,2018-05-16 14:31:37
432,3,41,3,2018-05-16 14:31:37
433,3,42,3,2018-05-16 14:31:37
434,3,43,3,2018-05-16 14:31:37
435,3,49,3,2018-05-16 14:31:37
436,3,50,3,2018-05-16 14:31:37
437,3,22,3,2018-05-16 14:31:37
438,3,46,3,2018-05-16 14:31:37
439,3,23,3,2018-05-16 14:31:37
440,3,24,3,2018-05-16 14:31:37
520,1,7,2,2020-07-30 15:10:23
521,1,8,2,2020-07-30 15:10:23
522,1,9,2,2020-07-30 15:10:23
523,1,10,2,2020-07-30 15:10:23
524,1,11,2,2020-07-30 15:10:23
525,1,25,2,2020-07-30 15:10:23
526,1,14,2,2020-07-30 15:10:23
527,1,15,2,2020-07-30 15:10:23
528,1,16,2,2020-07-30 15:10:23
529,1,17,2,2020-07-30 15:10:23
530,1,18,2,2020-07-30 15:10:23
531,1,19,2,2020-07-30 15:10:23
532,1,26,2,2020-07-30 15:10:23
533,1,27,2,2020-07-30 15:10:23
534,1,28,2,2020-07-30 15:10:23
535,1,29,2,2020-07-30 15:10:23
536,1,30,2,2020-07-30 15:10:23
537,1,31,2,2020-07-30 15:10:23
538,1,32,2,2020-07-30 15:10:23
539,1,33,2,2020-07-30 15:10:23
540,1,34,2,2020-07-30 15:10:23
541,1,55,2,2020-07-30 15:10:23
542,1,20,2,2020-07-30 15:10:23
543,1,21,2,2020-07-30 15:10:23
544,1,35,2,2020-07-30 15:10:23
545,1,36,2,2020-07-30 15:10:23
546,1,37,2,2020-07-30 15:10:23
547,1,38,2,2020-07-30 15:10:23
548,1,39,2,2020-07-30 15:10:23
549,1,40,2,2020-07-30 15:10:23
550,1,41,2,2020-07-30 15:10:23
551,1,42,2,2020-07-30 15:10:23
552,1,43,2,2020-07-30 15:10:23
553,1,49,2,2020-07-30 15:10:23
554,1,50,2,2020-07-30 15:10:23
555,1,22,2,2020-07-30 15:10:23
556,1,46,2,2020-07-30 15:10:23
557,1,23,2,2020-07-30 15:10:23
558,1,24,2,2020-07-30 15:10:23
559,1,51,2,2020-07-30 15:10:23
560,1,52,2,2020-07-30 15:10:23
561,1,54,2,2020-07-30 15:10:23
