id,state_board_id,port_board_id,period,officers_sanctioned,officers_actual,regular_sanctioned,regular_actual,casual_workers,status,created_by_user_id,created_on,modified_by_user_id,approved_on,modified_on,data_updated_no_of_times,last_data_updated_on,last_data_updated_by_user_id
1,3,28,2017,6,2,32,7,2,Approved,70,2017-05-25 16:43:00,,2018-12-06 16:06:21,,0,,
2,3,30,2016,6,3,42,8,0,Approved,69,2017-08-18 16:03:28,,2017-08-18 17:12:46,,0,,
3,3,30,2017,6,2,38,8,0,Approved,69,2017-08-18 16:58:57,,2017-08-18 17:13:25,,0,,
4,9,48,2017,13,8,0,0,0,Approved,112,2017-08-23 09:41:44,108,2017-09-07 12:47:19,2017-09-07 12:47:19,0,,
5,9,50,2016,30,18,0,0,1,Approved,113,2017-09-27 09:49:32,,2017-10-10 16:41:54,,0,,
6,9,50,2017,30,16,0,0,1,Approved,113,2017-09-27 09:49:58,110,2017-10-10 16:44:38,2017-10-10 16:44:38,0,,
7,9,49,2017,21,11,0,0,0,Approved,116,2017-10-05 13:03:06,,2017-11-09 15:37:33,,0,,
8,3,29,2017,0,0,2,1,0,Approved,120,2017-11-23 15:56:09,,2017-12-04 17:08:26,,0,,
9,9,52,2018,10,6,0,0,25,Approved,115,2018-03-06 11:33:52,,2018-09-14 15:17:33,,0,,
10,9,51,2017,57,47,0,0,188,Approved,121,2018-06-12 14:40:28,109,2018-07-23 12:32:14,2018-07-23 12:32:14,0,,
11,9,51,2018,57,49,0,0,188,Approved,121,2018-06-12 14:41:52,109,2018-07-23 12:32:49,2018-07-23 12:32:49,0,,
12,9,50,2018,0,0,0,0,0,Approved,113,2018-10-09 10:42:51,,2018-10-09 11:06:23,,0,,
13,3,27,2018,2,0,0,0,0,Approved,68,2018-11-20 11:36:34,,2018-11-20 11:42:51,,0,,
14,3,29,2018,0,0,2,1,0,Approved,120,2018-12-03 17:02:21,,2019-01-03 11:37:38,,0,,
15,3,28,2018,38,10,0,0,6,Approved,70,2018-12-13 16:23:07,,2018-12-13 16:30:10,,0,,
16,3,29,2019,0,0,2,1,0,Approved,120,2019-03-04 15:39:19,,2019-04-09 13:05:07,,0,,
17,9,50,2020,23,20,23,20,2,Approved,113,2020-05-04 12:59:09,,2020-05-04 13:10:57,,0,,
18,3,28,2020,40,11,0,0,11,Approved,70,2020-05-06 12:57:54,,2020-05-08 11:15:02,,0,,
19,9,48,2019,13,9,0,0,0,Approved,112,2020-07-10 15:58:58,,2020-07-10 16:02:09,,0,,
20,9,48,2020,13,10,0,0,0,Approved,112,2020-07-10 16:00:19,,2020-07-10 16:02:16,,0,,
21,3,29,2020,0,0,2,1,0,Approved,120,2020-07-16 10:51:23,,2020-07-16 11:06:06,,0,,
22,3,29,2021,0,0,2,1,0,Approved,120,2021-04-09 13:17:50,,2021-04-09 13:33:01,,0,,
