id,state_board_id,port_board_id,period,max_depth_avl,berth_type_id,no_of_berths_bl_2mtr,no_of_berths_2mtr_to_4mtr,no_of_berths_4mtr_to_6mtr,no_of_berths_6mtr_above,total,status,created_by_user_id,created_on,modified_by_user_id,approved_on,modified_on
1,3,28,2016,15,1,1,1,1,1,1,Approved,70,2017-05-25 16:30:12,,2018-12-06 16:06:02,
2,9,48,2016,12,1,0,0,0,1,1,Approved,112,2017-08-23 09:38:11,108,2017-09-07 12:54:11,2017-09-07 12:54:11
3,9,48,2017,12,1,0,0,0,1,1,Approved,112,2017-10-04 15:47:47,108,2017-10-09 14:32:17,2017-10-09 14:32:17
4,9,49,2017,6,1,0,1,1,0,2,Approved,116,2017-10-05 13:06:57,,2017-10-09 11:54:23,
5,9,50,2016,0,1,0,0,0,0,0,Approved,113,2017-10-06 09:26:45,,2017-10-10 16:45:28,
6,9,50,2017,0,1,0,0,0,0,0,Approved,113,2017-10-06 09:27:06,,2017-10-10 16:46:00,
7,3,29,2017,16,4,0,0,0,1,1,Approved,120,2017-11-23 16:03:20,66,2017-12-04 17:12:48,2017-12-04 17:12:48
8,9,50,2017,0,4,0,0,0,0,0,Approved,113,2018-01-19 13:38:21,,2018-01-19 13:44:22,
9,9,51,2017,6,1,0,2,0,0,2,Approved,121,2018-02-07 14:12:57,,2018-02-09 11:37:41,
10,9,52,2018,4,1,0,1,0,0,1,Approved,115,2018-03-06 11:36:10,,2018-09-14 15:17:13,
11,9,51,2018,6,1,0,2,0,0,0,Approved,121,2018-04-19 12:45:40,,2018-05-02 12:01:38,
12,9,50,2018,0,1,0,0,0,0,0,Approved,113,2018-10-09 10:45:34,,2018-10-09 11:15:28,
13,9,50,2018,0,4,0,0,0,0,0,Approved,113,2018-10-09 10:47:37,,2018-10-09 11:15:28,
14,6,37,2017,15,1,0,0,0,4,4,Approved,167,2018-10-29 14:59:47,,2018-11-03 18:04:12,
15,6,37,2018,15,1,0,0,0,4,4,Approved,167,2018-10-29 15:13:14,,2018-11-03 18:04:31,
16,3,28,2018,11,4,0,0,0,1,1,Approved,70,2018-12-13 16:01:16,,2018-12-13 16:31:20,
17,3,28,2017,11,4,0,0,0,1,1,Approved,70,2018-12-13 16:01:40,,2018-12-13 16:30:05,
18,3,29,2018,15,4,0,0,0,1,1,Approved,120,2018-12-19 15:47:47,,2019-01-03 11:37:55,
19,8,113,2019,20,3,0,1,0,4,5,Approval Awaited,215,2019-01-30 12:49:17,,,
20,1,111,2018,11,4,0,0,0,12,12,Approved,185,2019-02-04 17:16:13,,2019-02-07 12:24:47,
21,3,29,2019,15,4,0,0,0,1,1,Approved,120,2019-03-04 16:18:17,,2019-04-09 13:05:35,
22,9,50,2019,0,4,0,0,0,0,0,Approved,113,2019-04-02 17:15:16,,2019-04-02 17:17:34,
23,6,37,2019,14,1,0,0,0,4,4,Approved,167,2019-04-05 10:00:37,,2019-05-04 23:33:37,
24,9,50,2020,0,4,0,0,0,0,0,Approved,113,2020-05-04 11:58:01,,2020-05-04 12:05:07,
25,3,28,2020,11,4,0,0,0,1,1,Approved,70,2020-05-06 12:42:42,65,2020-05-08 11:15:38,2020-05-08 11:15:38
26,3,29,2020,15,4,0,0,0,1,1,Approved,120,2020-07-16 10:52:51,,2020-07-16 11:06:44,
27,3,29,2021,15,4,0,0,0,1,1,Approved,120,2021-04-09 13:20:45,,2021-04-09 13:33:53,
28,9,52,2022,8,1,0,1,0,0,1,Approved,115,2022-12-30 16:12:43,,2023-01-03 10:45:48,
29,9,52,2024,4,1,0,1,0,0,1,Approved,115,2024-05-08 15:15:41,,2024-05-08 15:19:07,
